Timestamp	Places_from_VLOC	Labels_in_tile	Image	Tileset	Key A	Key B	Key C	Key D
2020-04-15 16:20:15		Berman Edge Rd, Covenant Rock Ln, Logging Rd, Morgan Ridge Rd, Sycamore Ridge Ln, Utley Bluffs Dr		0X50080050	0X14	-0X2710000	0X326B0008	0X2005000
2020-04-15 16:20:15				0X58080050	0X14	-0X2710000	0X326B0008	0X2005800
2020-04-15 16:27:09		Green Oaks Pkwy, Thomas Mill Rd		-0X2BF7FFB0	0X14	-0X2B10000	0X326A0008	0X200D400
2020-04-15 16:27:09		Ainsdale Pl, Eagle Springs Ct, Evans Crest Ln, Green Oaks Pkwy, Hardy Oaks Way, Hensley Grove Ct, Hensley Hill Pl, Hensley Oak Way, Holly Springs New Hill Rd, Honeyridge Ln, Hundred Oaks Ln, Jumping Creek Ct, Lucky Ribbon Ln, Market Cross Ct, Moore Hill Way, Morning Oaks Dr, Ribbon Walk Ln, Secondary Road 1152, Secret Grove Ln, Tree Hill Ln, White Hill Dr		-0X2BF7FFB0	0X14	-0X2B10000	0X32690008	0X200D400
2020-04-16 12:05:34				0X2C080050	0X14	0X7E8E0000	0X19340004	0X2002C00
2020-04-16 12:05:35				0X2C080050	0X14	0X7E4E0000	0X19340004	0X2002C00
2020-04-16 12:05:35				0X34080050	0X14	0X7E8E0000	0X19340004	0X2003400
2020-04-16 12:05:35		Big Branch, Little Branch, Twelve Oaks		0X4080050	0X14	0X7E8E0000	0X19340004	0X2000400
2020-04-16 12:05:35		Big Branch, Holly Hill, White Oak Creek		0X4080050	0X14	0X7E4E0000	0X19340004	0X2000400
2020-04-16 12:05:35				0X34080050	0X14	0X7E4E0000	0X19340004	0X2003400
2020-04-16 12:06:28				0X34080050	0X14	-0XBEF0000	-0X3659FFDD	0X2003400
2020-04-16 12:11:14		Apex, Avents Creek, B Everett Jordan Lake, Basal Creek, Beaver Creek, Big Branch, Brickhaven, Buckhorn Creek, Bush Creek, Camels Creek, Camp Branch, Cape Fear River, Cary Branch, Cedar Creek, Daniels Creek, Duncan, Dutchmans Branch, Fall Creek, Fuquay-Varina, Gulf Creek, Haw River, Haywood, Hector Creek, Holly Springs, Hughes Creek, Kenneth Creek, Lick Creek, Little Beaver Creek, Little Branch, Little Lick Creek, Little White Oak Creek, Lynn Branch, Middle Creek, Mill Creek, Moncure, Neills Creek, Parkers Creek, Patchet Creek, Reedy Branch, Roberts Creek, Shaddox Creek, Shearon Harris Reservoir, Stinking Creek, Swift Creek, Terrible Creek, Thomas Creek, Tom Jack Creek, Utley Creek, Weaver Creek, West Buies Creek, White Oak Creek, Williams Creek, Wombles Creek		0X4080050	0X14	0X47CA0000	0X1930000	0X2000400
2020-04-16 12:11:18				0X34080050	0X14	0X7E8E0000	0X19350004	0X2003400
2020-04-16 12:11:18				0X2C080050	0X14	0X7E8E0000	0X19350004	0X2002C00
2020-04-16 12:11:18		Norris Branch, Utley Creek		0X4080050	0X14	0X7E8E0000	0X19350004	0X2000400
2020-04-16 12:11:18				0X58080050	0X14	0X7E8E0000	0X19340004	0X2005800
2020-04-16 12:11:18				0X58080050	0X14	0X7E8E0000	0X19350004	0X2005800
2020-04-16 12:05:35				0X78080050	0X14	0X47CA0000	0X1930000	0X2007800
2020-04-16 12:06:28				0X78080050	0X14	-0X17AE0000	-0X6CB3FFB9	0X2007801
2020-04-16 12:06:34				0X78080050	0X14	-0X2F10000	0X32690008	0X2007800
2020-04-15 16:20:15				0X78080050	0X14	-0X2710000	0X326B0008	0X2007800
2020-04-15 16:18:23				0X34080050	0X14	-0X2B10000	0X32680008	0X2003400
2020-04-15 16:17:21				0X2C080050	0X14	0X7ECE0000	0X19330004	0X2002C00
2020-04-15 16:20:15				0X34080050	0X14	-0X2710000	0X326B0008	0X2003400
2020-04-15 16:17:53				0X78080050	0X14	-0X2B10000	0X326A0008	0X2007800
2020-04-15 16:18:23				0X78080050	0X14	-0X2B10000	0X32680008	0X2007800
2020-04-15 16:16:42				0X78080050	0X14	-0X1F10000	0X32680008	0X2007800
2020-04-15 16:16:36				0X2C080050	0X14	0X7F0E0000	0X19350004	0X2002C00
2020-04-15 16:17:21				0X78080050	0X14	-0X2310000	0X326B0008	0X2007800
2020-04-15 16:17:53				0X34080050	0X14	-0X2B10000	0X326A0008	0X2003400
2020-04-15 16:16:33				0X2C080050	0X14	0X7ECE0000	0X19350004	0X2002C00
2020-04-15 16:16:42				0X78080050	0X14	-0X1F10000	0X32690008	0X2007800
2020-04-15 16:16:42				0X34080050	0X14	-0X2B10000	0X32690008	0X2003400
2020-04-15 16:16:23				0X2C080050	0X14	0X7ECE0000	0X19340004	0X2002C00
2020-04-15 16:16:42				0X34080050	0X14	-0X1F10000	0X32680008	0X2003400
2020-04-15 16:16:42				0X78080050	0X14	-0X2B10000	0X32690008	0X2007800
2020-04-15 16:16:35				0X78080050	0X14	-0X2710000	0X326A0008	0X2007800
2020-04-15 16:16:23				0X2C080050	0X14	0X7F0E0000	0X19340004	0X2002C00
2020-04-15 16:16:36				0X78080050	0X14	-0X1F10000	0X326A0008	0X2007800
2020-04-15 16:16:23		Olive Garden, Petco, Target, Texas Roadhouse		0X34080050	0X14	0X7ECE0000	0X19340004	0X2003400
2020-04-15 16:16:42		Bombshell Beer Company, Cleveland & Holly Springs Ace Hardware, Domino's Pizza, Food Lion, Jones Park, Kobe Hibachi & Sushi, Sonic Drive-In, Valero		0X34080050	0X14	-0X1F10000	0X32690008	0X2003400
2020-04-15 16:16:35				0X78080050	0X14	-0X2310000	0X326A0008	0X2007800
2020-04-15 16:16:36		Holly Springs Farmers Market, Holly Springs Medical Center, Los Tres Magueyes, Main Street Mini Mart, Mama Bird's Ice Cream, Osha Thai Kitchen & Sushi, Papa John's Pizza, Pizza Hut, Play It Again Sports, Quality Food Mart, Sir Walter Coffee + Kitchen, Sweetberry Bowl, US Post Office, Walgreens		0X34080050	0X14	-0X1F10000	0X326A0008	0X2003400
2020-04-15 16:16:33		Arctic Ocean, Atlantic Ocean, Atlantic Ocean, Atlantic Ocean, London, London, Los Angeles, New York, North America, North Atlantic Ocean, North Atlantic Ocean, North Atlantic Ocean, North Pacific Ocean, North Pacific Ocean, North Pacific Ocean, North Pacific Ocean, North Pacific Ocean, Pacific Ocean, Pacific Ocean, Pacific Ocean, Pacific Ocean, Pacific Ocean, Toronto, Vancouver, Bogotá, Bogotá, Ciudad de México, Ciudad de México, Montréal		0X4080050	0X14	0X10000		0X2000400
2020-04-15 16:16:23		Bridgewater, Easton Acres, Little Branch, Middle Creek, Sunset Forest, Sunset Ridge, Windcrest, Windward Pointe		0X4080050	0X14	0X7F0E0000	0X19340004	0X2000400
2020-04-15 16:16:33		Avent Acres, Avent Glen, Ballenridge, Country Lane, Cross Pointe Village, Morgan Park, Trotter Bluffs, Utley Creek		0X4080050	0X14	0X7ECE0000	0X19350004	0X2000400
2020-04-15 16:16:36		Chelsea Woods, Fair Hill, Glennwood, Holly Acres, Holly Heights, Holly Park, Lakeside, Lakeview Estates, Monument Park, Old Mill Village, Parkside, Parkside Village, Rhamkatte Village, Spring Meadow, Valleyfield, Westview, Whitney Village, Woodcliff		0X4080050	0X14	0X7F0E0000	0X19350004	0X2000400
2020-04-15 16:16:23		Forest Springs, Little Branch, Oakhall, Woodlands at Oak Hall		0X4080050	0X14	0X7ECE0000	0X19340004	0X2000400
